loc,objTSizeLarge,"repoName"
/data/github_go/repos/AdGuardHome/internal/querylog/search.go@116:4:116:36,true,AdGuardHome
/data/github_go/repos/EasyDarwin/rtsp/player.go@50:3:50:33,true,EasyDarwin
/data/github_go/repos/EasyDarwin/rtsp/player.go@72:4:72:34,true,EasyDarwin
/data/github_go/repos/EasyDarwin/rtsp/pusher.go@266:4:266:34,true,EasyDarwin
/data/github_go/repos/LeetCode-Go/leetcode/0102.Binary-Tree-Level-Order-Traversal/102. Binary Tree Level Order Traversal.go@38:3:38:19,true,LeetCode-Go
/data/github_go/repos/LeetCode-Go/leetcode/0103.Binary-Tree-Zigzag-Level-Order-Traversal/103. Binary Tree Zigzag Level Order Traversal.go@40:4:40:20,true,LeetCode-Go
/data/github_go/repos/LeetCode-Go/leetcode/0103.Binary-Tree-Zigzag-Level-Order-Traversal/103. Binary Tree Zigzag Level Order Traversal.go@100:4:100:12,true,LeetCode-Go
/data/github_go/repos/LeetCode-Go/leetcode/0107.Binary-Tree-Level-Order-Traversal-II/107. Binary Tree Level Order Traversal II.go@48:4:48:20,true,LeetCode-Go
/data/github_go/repos/LeetCode-Go/leetcode/0199.Binary-Tree-Right-Side-View/199. Binary Tree Right Side View.go@36:3:36:19,true,LeetCode-Go
/data/github_go/repos/LeetCode-Go/leetcode/0222.Count-Complete-Tree-Nodes/222. Count Complete Tree Nodes.go@38:4:38:20,true,LeetCode-Go
/data/github_go/repos/LeetCode-Go/leetcode/0429.N-ary-Tree-Level-Order-Traversal/429. N-ary Tree Level Order Traversal.go@25:3:25:19,true,LeetCode-Go
/data/github_go/repos/LeetCode-Go/leetcode/0515.Find-Largest-Value-in-Each-Tree-Row/515. Find Largest Value in Each Tree Row.go@54:4:54:20,true,LeetCode-Go
/data/github_go/repos/LeetCode-Go/leetcode/0515.Find-Largest-Value-in-Each-Tree-Row/515. Find Largest Value in Each Tree Row.go@78:4:78:12,true,LeetCode-Go
/data/github_go/repos/LeetCode-Go/leetcode/0559.Maximum-Depth-of-N-ary-Tree/559.Maximum Depth of N-ary Tree.go@24:4:24:12,true,LeetCode-Go
/data/github_go/repos/LeetCode-Go/leetcode/0637.Average-of-Levels-in-Binary-Tree/637. Average of Levels in Binary Tree.go@39:4:39:20,true,LeetCode-Go
/data/github_go/repos/LeetCode-Go/leetcode/0662.Maximum-Width-of-Binary-Tree/662. Maximum Width of Binary Tree.go@37:4:37:20,true,LeetCode-Go
/data/github_go/repos/LeetCode-Go/leetcode/0958.Check-Completeness-of-a-Binary-Tree/0958.Check Completeness of a Binary Tree.go@23:3:23:19,true,LeetCode-Go
/data/github_go/repos/LeetCode-Go/leetcode/0993.Cousins-in-Binary-Tree/993. Cousins in Binary Tree.go@72:3:72:19,true,LeetCode-Go
/data/github_go/repos/LeetCode-Go/leetcode/1609.Even-Odd-Tree/1609.Even Odd Tree.go@34:3:34:24,true,LeetCode-Go
/data/github_go/repos/LeetCode-Go/structures/TreeNode.go@35:3:35:19,true,LeetCode-Go
/data/github_go/repos/LeetCode-Go/structures/TreeNode.go@211:3:211:22,true,LeetCode-Go
/data/github_go/repos/LeetCode-Go/structures/TreeNode.go@249:3:249:19,true,LeetCode-Go
/data/github_go/repos/LeetCode-Go/structures/TreeNode.go@287:3:287:22,true,LeetCode-Go
/data/github_go/repos/VictoriaMetrics/app/vmselect/graphite/transform.go@3715:3:3715:13,true,VictoriaMetrics
/data/github_go/repos/VictoriaMetrics/app/vmselect/promql/transform.go@2146:3:2146:20,true,VictoriaMetrics
/data/github_go/repos/VictoriaMetrics/lib/logstorage/storage.go@324:3:324:49,true,VictoriaMetrics
/data/github_go/repos/VictoriaMetrics/lib/logstorage/storage_search.go@157:2:157:16,true,VictoriaMetrics
/data/github_go/repos/VictoriaMetrics/lib/mergeset/table.go@563:3:563:15,true,VictoriaMetrics
/data/github_go/repos/VictoriaMetrics/lib/mergeset/table.go@724:3:724:15,true,VictoriaMetrics
/data/github_go/repos/VictoriaMetrics/lib/regexutil/regexutil.go@104:3:104:23,true,VictoriaMetrics
/data/github_go/repos/VictoriaMetrics/lib/regexutil/regexutil.go@161:4:161:24,true,VictoriaMetrics
/data/github_go/repos/VictoriaMetrics/lib/regexutil/regexutil.go@235:5:235:25,true,VictoriaMetrics
/data/github_go/repos/VictoriaMetrics/lib/storage/partition.go@916:3:916:15,true,VictoriaMetrics
/data/github_go/repos/Xray-core/common/buf/multi_buffer.go@119:3:119:20,true,Xray-core
/data/github_go/repos/Xray-core/common/buf/multi_buffer.go@201:3:201:20,true,Xray-core
/data/github_go/pattern/newHaveRepos/afero/gcsfs/gcs_mocks.go@266:2:266:24,false,afero
/data/github_go/repos/amqp/consumers.go@78:5:78:21,true,amqp
/data/github_go/repos/awesome-golang-algorithm/lcof/of032-I/Solution.go@24:3:24:19,true,awesome-golang-algorithm
/data/github_go/repos/awesome-golang-algorithm/leetcode/1-100/0100.Same-Tree/Solution.go@31:3:31:13,true,awesome-golang-algorithm
/data/github_go/repos/awesome-golang-algorithm/leetcode/1-100/0100.Same-Tree/Solution.go@34:3:34:13,true,awesome-golang-algorithm
/data/github_go/repos/awesome-golang-algorithm/leetcode/101-200/0101.Symmetric-Tree/Solution.go@32:3:32:15,true,awesome-golang-algorithm
/data/github_go/repos/awesome-golang-algorithm/leetcode/101-200/0102.Binary-Tree-Level-Order-Traversal/Solution.go@74:4:74:16,true,awesome-golang-algorithm
/data/github_go/repos/awesome-golang-algorithm/leetcode/101-200/0103.Binary-Tree-Zigzag-Level-Order-Traversal/Solution.go@89:4:89:16,true,awesome-golang-algorithm
/data/github_go/repos/awesome-golang-algorithm/leetcode/101-200/0104.Maximum-Depth-of-Binary-Tree/Solution.go@46:4:46:16,true,awesome-golang-algorithm
/data/github_go/repos/awesome-golang-algorithm/leetcode/101-200/0107.Binary-Tree-Level-Order-Traversal-II/Solution.go@27:4:27:20,true,awesome-golang-algorithm
/data/github_go/repos/awesome-golang-algorithm/leetcode/101-200/0112.Path-Sum/Solution.go@34:4:34:16,true,awesome-golang-algorithm
/data/github_go/repos/awesome-golang-algorithm/leetcode/101-200/0199.Binary-Tree-Right-Side-View/Solution.go@76:4:76:16,true,awesome-golang-algorithm
/data/github_go/repos/awesome-golang-algorithm/leetcode/1101-1200/1161.Maximum-Level-Sum-of-a-Binary-Tree/Solution.go@24:3:24:25,true,awesome-golang-algorithm
/data/github_go/repos/awesome-golang-algorithm/leetcode/901-1000/0958.Check-Completeness-of-a-Binary-Tree/Solution.go@13:3:13:15,true,awesome-golang-algorithm
/data/github_go/repos/aws-nuke/resources/elb-elb.go@62:3:62:39,false,aws-nuke
/data/github_go/repos/aws-nuke/resources/elbv2-alb.go@69:3:69:53,false,aws-nuke
/data/github_go/repos/aws-nuke/resources/elbv2-targetgroup.go@61:3:61:75,false,aws-nuke
/data/github_go/repos/aws-nuke/resources/s3-buckets.go@191:3:191:33,true,aws-nuke
/data/github_go/repos/aws-sdk-go/service/s3/s3manager/batch.go@171:3:171:33,true,aws-sdk-go
